Start Node,Algorithm,Suggested Products,Time to Suggest
19201,DFS,|125772||101084||125774||125773||125771||73272||73273||153147||153146||125770|||,0.0
19201,RFS,|125772||101084||125774||125771||125773||73272||31269||73271||73273||125770|||,0.0010006427764892578
19401,BFS,|23137||77382||72832||67082||101838||99076||49823||49825||32831||56952|||,0.008005857467651367
19401,DFS,|23137||77382||72832||67082||101838||99076||49825||49823||125172||121148|||,0.011008024215698242
19401,RFS,|23137||77382||72832||67082||101838||99076||49823||32831||56952||49825|||,0.00900578498840332
19801,BFS,|46890||72204||37644||114960||114961||112232||81706||24481||29255||23057|||,0.0010004043579101562
19801,DFS,|46890||72204||37644||112232||81706||114961||114960||24481||29255||23057|||,0.0
19801,RFS,|46890||72204||37644||112232||114961||81706||114960||24481||23057||29255|||,0.0010008811950683594
20201,BFS,|34881||46414||34882||142461||52496||52497||111424||111425||111678||167231|||,0.0
20201,DFS,|34881||46414||52497||52496||142461||34882||111425||111424||111678||163260|||,0.0
20201,RFS,|34881||46414||52496||142461||52497||34882||111424||111425||111678||167232|||,0.0010006427764892578
20401,BFS,|20399||123749||123752||51827||80287||68134||22008||80290||123750||103237|||,0.001001119613647461
20401,DFS,|20399||123752||123749||68134||51827||80287||103237||123750||22008||80290|||,0.001999378204345703
20401,RFS,|20399||123749||123752||51827||80287||68134||80290||22008||123750||103237|||,0.0010006427764892578
20601,BFS,|20602||47380||20603||54339||27906||22692||22693||22691||83123||22889|||,0.0
20601,DFS,|20602||47380||20603||54339||27906||22692||22691||22693||83123||80792|||,0.0010001659393310547
20601,RFS,|20602||47380||20603||54339||27906||22692||22691||22693||83123||80792|||,0.0
20801,BFS,|36059||46068||46559||96651||49339||76708||102187||115383||76967||76968|||,0.0010006427764892578
20801,DFS,|36059||46559||46068||96651||76708||49339||102187||115383||75812||96650|||,0.0
20801,RFS,|36059||46068||96651||46559||76708||102187||49339||115383||76968||75812|||,0.0
21001,BFS,|34520||46787||50449||22726||21269||34521||21268||132639||143196||134600|||,0.0010006427764892578
21001,DFS,|34520||50449||46787||22726||21269||34521||21268||143196||134601||134600|||,0.0
21001,RFS,|34520||46787||50449||22726||34521||21269||21268||143196||134600||134601|||,0.0
21401,BFS,|38273||34784||56165||75575||28824||71198||37936||37939||56166||56167|||,0.005006551742553711
21401,DFS,|38273||34784||56165||75575||28824||37936||37939||71198||69353||56167|||,0.004004716873168945
